review_text,actual_stars,predicted_stars,explanation,raw_response,json_valid
"An upscale mexican restaurant in the area seemed like the best thing to have happened to me. I planned my visit for a quieter evening, and reviewed the menu again and again. 

However, upon our arrival I thought twice immediately. The parking was iffy, and the place didn't seem to stand up to the signage. Perhaps the art was not to my liking, honestly not a piece stands out in my memory. 


We were seated immediately. 

Our waiter seemed a little off, not to mention the fact that he was insanely snobby and seemed to be moonlighting in the kitchen, where he disappeared for 10-15 minutes at a time. He did not fill our soft drinks once without being first flagged down (those of you who have experienced the close quarters will understand how ridiculous this is). 

Halfway through waiting for our food (which took 45 minutes, easily), the lamp above our table went out. We sat in the dark for a good 5 minutes before they even noticed. Which was actually a nice change of scenery from the boring beige walls. 

When the food finally arrived, we were too tired (due to having finished an entire bottle of wine) so we left. Unfortunately, we took our grub with us.
I had some sort of mixed seafood entree with chorizo and a creamy sauce. It's no coincidence you're taken aback by the combination... it didn't go down too easily. Having dropped 90 dollars on the meal, though, we felt compelled to finish as much as we could stand. 

Normally I would make sure I got the name of the dish right, but since I am recommending that you not go there, why bother?",1,1,"Overwhelmingly negative experience with multiple severe complaints: snobby and absent waiter, extremely long food wait (45 mins), lamp going out, unpleasant food combination, poor value for money ($90), and an explicit recommendation to 'not go there.' The reviewer's initial high hopes make the disappointment even more pronounced.","```json
{
  ""predicted_stars"": 1,
  ""explanation"": ""Overwhelmingly negative experience with multiple severe complaints: snobby and absent waiter, extremely long food wait (45 mins), lamp going out, unpleasant food combination, poor value for money ($90), and an explicit recommendation to 'not go there.' The reviewer's initial high hopes make the disappointment even more pronounced.""
}
```",True
"So i thought with all the controversy surrounding this place, I would support the first amendment with my wallet. Unfortunately our experience here was subpar to say the least. We came in on a 3pm on Saturday and there was only one other couple inside. We were literally outnumbered by the people working there. I say this because somehow, despite this fact, the service was HORRENDOUS. I mean we got our order out fine, but our waitress dissappeared after that. At one point I had to almost get refills for us myself. The sushi itself was so overpriced for what it was. The Philadelphia roll was decent, but the California roll was really bad. When it came to paying, I put my credit card in the sleeve and waited for awhile. Despite there being no one else in the restaurant at this point except one other table, the waitress didn't return. If it wasn't for the cash I had on me I'd be waisting away there at this moment because she had no intention of returning and I have no intention of ingesting there food ever again!",1,1,"Extremely negative experience with 'HORRENDOUS' service, multiple instances of neglect, overpriced food with a 'really bad' item, and a strong declaration of never returning.","```json
{
  ""predicted_stars"": 1,
  ""explanation"": ""Extremely negative experience with 'HORRENDOUS' service, multiple instances of neglect, overpriced food with a 'really bad' item, and a strong declaration of never returning.""
}
```",True
"The only reason 1 star can be given is the flavor choices and taste.  The SMALLEST wings I have ever seen, they must be off of baby chicks.  I thought it was getting punked, actually LOL.  Never to be back",1,1,"Extremely negative review with severe complaints about product quality ('SMALLEST wings'), feeling 'punked,' and a strong statement of not returning. The phrase 'The only reason 1 star can be given is the flavor choices and taste' suggests that even the sole positive aspect isn't enough to elevate the overall experience above the lowest possible rating.","```json
{
  ""predicted_stars"": 1,
  ""explanation"": ""Extremely negative review with severe complaints about product quality ('SMALLEST wings'), feeling 'punked,' and a strong statement of not returning. The phrase 'The only reason 1 star can be given is the flavor choices and taste' suggests that even the sole positive aspect isn't enough to elevate the overall experience above the lowest possible rating.""
}
```",True
"I am leaving this store angry and can't resist writing a review! 

The staff is incredibly useless....if you can actually find someone to help you. The store is huge with very little signs to guide you. Therefore I always wander aimlessly looking for the one simple thing I stopped in for (even though I tell myself I will never go back) with no one to help me. 

Today they were out of an item I bought last week and need more of to finish my project. I asked the only 100 year old lady I could find to check the back and she told me they have nothing in back and to ask customer service. The lady at customer service was actually a reasonable age and when I asked her to call the Indian Bend store she handed me their number and said ""well you can call them"". I stormed out soooo mad and this time I promise to never go back. Hobby Lobby or Michaels is worth the drive!!!",1,1,"Multiple severe complaints about unhelpful and unavailable staff, poor store navigation, lack of product, and unhelpful customer service. The reviewer expresses extreme anger, a long history of negative experiences, and a strong resolve to never return, explicitly recommending competitors.","```json
{
  ""predicted_stars"": 1,
  ""explanation"": ""Multiple severe complaints about unhelpful and unavailable staff, poor store navigation, lack of product, and unhelpful customer service. The reviewer expresses extreme anger, a long history of negative experiences, and a strong resolve to never return, explicitly recommending competitors.""
}
```",True
"We came here for dinner for me and reverse happy hour for my wife, we ordered our appetizers and after finishing them and looking over the menu for a few minutes we were ready to jump into the overpriced entrees. We were then informed that we couldn't order dinner. Maybe when they see someone coming in and telling them they are...here for dinner...they might give them a heads up that the kitchen Is closing so we can order our meals and not be told five minutes after it did close..fourth time we've given this place a and got crappy service. Bartender got a buck tip and we had to go find another restaurant for dinner, Needless to say we won't be giving them another chance. Not good Gordon B. Not good.",1,1,"Extremely negative experience due to poor communication, being denied dinner service after appetizers, a pattern of 'crappy service' over multiple visits, and a clear statement of never returning. The low tip and inconvenience of having to find another restaurant reinforce the severe dissatisfaction.","```json
{
  ""predicted_stars"": 1,
  ""explanation"": ""Extremely negative experience due to poor communication, being denied dinner service after appetizers, a pattern of 'crappy service' over multiple visits, and a clear statement of never returning. The low tip and inconvenience of having to find another restaurant reinforce the severe dissatisfaction.""
}
```",True
"Had some time to kill before the Ultimate pleY Date Yelp event, and I'd wanted to share my love of Nobuo's Dark chocolate mousse with green tea ice cream and sugared orange peels with my happy-go-lucky cousin, who has never been here before, so we stopped by at 5:17p to find that Nobuo wouldn't open till 5:30p, so we waited outside in the comfortable patio.

After watching a couple of employees add lanterns to their outdoor umbrellaed tables, I noticed the ""OPEN"" sign on the front door, so we entered the resto, whereupon we were greeted warmly by a male host and shown to a two-top.  I didn't like the energy in that room, so I asked if we could sit elsewhere, and he said to choose wherever we wanted to sit.  We were the first customers, so we chose a four-top, knowing we wouldn't be taking up space for very long, anyway.  Glasses of water were delivered, and soon we met our female server (whose name on the receipt reflected ""Butai"").  When she laid down the menus, I told her we would only be having dessert and could we see the dessert menu?  I wished we had a video of the look she gave us, a look of pure distaste, as she gathered up the dinner and beverage menus and said ""We don't have dessert menus, as we only have two..."" and proceeded to tell us of the mousse and the almond-orange fritters.  She walked away, and as we loudly discussed about our losing our interest in dining there, she came back with napkins and utensils and asked if we decided what we were going to have.  I decided to forgo our server's very cold treatment and asked for the mousse.  After all, I'd already finished a glass of ice-cold water and cousin's phone needed recharging...  

When Butai placed our chocolate mousse http://www.yelp.com/biz_photos/0Buxoc0cRqjpvkezo3bqog?select=rK8m1rxl50PB69_c2YqQTg#rK8m1rxl50PB69_c2YqQTg on the table, I wanted to send it back.  Where was the lovely bowl and presentation of the last dessert I had here?  Was she serious in presenting us with this stale-looking mousse, with cracked edges and whose green tea ice cream had ice crystals on it?  I don't know about you, but the only times I've seen crystals on ice cream is when it has slightly melted and placed back in the freezer to re-freeze.  For me, seeing crystals on ice cream is a sign that it is old...  I brought the receptacle and showed it to the male host, who assured me that all of the mousse is made daily at 4:00a and seeing cracks and bubbles in the mousse is normal, so I decided we would go ahead and try it, if for nothing else but to have something to report here.  The dessert was definitely not up to par with the pretty bowl http://www.yelp.com/biz_photos/0Buxoc0cRqjpvkezo3bqog?select=o9jIksB-MObhCxoI_msekQ#o9jIksB-MObhCxoI_msekQ I had during our October OYE in taste and presentation, but it was OK.  The mousse was still cold and stiff, and it had a mouth-feel more of like thick chocolate ganache filling/icing on a cake- certainly not the silky-smooth chocolate decadence I knew it could be.  My cousin had to warm up to the dish, as the sound of chocolate and green tea together didn't seem like a great combo to her (I told her to trust me).  She also never enjoyed orange and chocolate together, but she liked it in this dessert.  

I understand that the knowledge of having to serve only dessert instead of dinner AND dessert, which translates to a higher table bill, can be a bit of a disappointment, but why must you show your displeasure to your guests?  Butai, you were lucky that my cousin even left you the change for a tip- she didn't want to give you anything, and you certainly didn't deserve it!  When I told other Yelp friends about the sub-par service and dessert we just had, one replied she didn't enjoy the last time we had apps here (I think it was around Halloween and First Friday?) either.  Cousin and I thought it very poor taste that our server gave us that awful, condescending look after finding out we were just going to have dessert; We didn't deserve that!  I am never going to recommend Nobuo to anyone, anymore.  I even promised my Japanese friend (who lives and works overseas) I'd treat her to a dining experience here when she comes to visit.  Guess I'll have to find another place to take her...  I don't want to risk getting the same treatment from Butai, or from another server should we come back here.  

Sorry, Nobuo, but I won't be returning.",1,2,"The review details extremely poor service from the server, described as giving a 'look of pure distaste' and 'cold treatment.' This was coupled with significant disappointment in the quality and presentation of the specific dessert the reviewer came for, which was 'stale-looking' with 'ice crystals.' Despite a pleasant initial greeting from the host, the overwhelming negative experience with the server and the core product led to a strong declaration of never returning or recommending the restaurant.","```json
{
  ""predicted_stars"": 2,
  ""explanation"": ""The review details extremely poor service from the server, described as giving a 'look of pure distaste' and 'cold treatment.' This was coupled with significant disappointment in the quality and presentation of the specific dessert the reviewer came for, which was 'stale-looking' with 'ice crystals.' Despite a pleasant initial greeting from the host, the overwhelming negative experience with the server and the core product led to a strong declaration of never returning or recommending the restaurant.""
}
```",True
"I was really disappointed with my local Baja Fresh tonight.  The lobby, salsa bar and even drink station were very dirty and unkept.  To top that off my salad had old dark colored guacamole and limp lettuce.

I hope they read this and will do a better job at cleaning up!",1,1,"Multiple severe complaints about cleanliness (dirty lobby, salsa bar, drink station) and food quality (old guacamole, limp lettuce), indicating a very poor experience.","```json
{
  ""predicted_stars"": 1,
  ""explanation"": ""Multiple severe complaints about cleanliness (dirty lobby, salsa bar, drink station) and food quality (old guacamole, limp lettuce), indicating a very poor experience.""
}
```",True
"I brought my sweet sister in law shopping at this Forever 21 location.  She had a bag full of goodies (several hundreds of dollars worth) from H&M.  She stopped at Forever 21 and  sat her bag on the ground right beside her while she tried on a pair of shoes.  Her H&M bag was stolen during that brief moment that the bag was not in her arms.....and while this certainly was not the responsibility of Forever 21....we were so disappointed in the way the Forever 21 staff reacted. They did not call security, or the police, or even offer any condolences.  They just shrugged their shoulders.  My sister in law did love some of the fashions at Forever 21....but the store was such a mess.  There were clothes all over the floor under each and every rack.  There were way too few staff members working, and many who were working were ""socializing"" with one another instead of helping customers or maintaining the store inventory in a decent fashion. The only employees that were on task were:  1 at the checkout, and 1 at the fitting rooms - there was a band of 5 girls dressing one mannequin while the store was amidst in chaos (including someone stealing bags from other customers)..... So - if you choose to shop at this store - hold on to your bags :)",1,1,"Extremely negative experience due to staff's indifferent reaction to a theft, severe store disorganization, and unprofessional, unhelpful staff presence. The single positive about the merchandise is completely overshadowed by these major issues.","```json
{
  ""predicted_stars"": 1,
  ""explanation"": ""Extremely negative experience due to staff's indifferent reaction to a theft, severe store disorganization, and unprofessional, unhelpful staff presence. The single positive about the merchandise is completely overshadowed by these major issues.""
}
```",True
"My part Jewish friend has been raving about this deli so come payday we went to check it out. Ive been in Phoenix a little over a month and have been getting sick from the food here...diarrhea lots, shit my pants once... anyway, i like to eat in divey non-american cuisine. This place aint seedy enough for me, I suppose.

I did not get ill from the food here

However....

 $12.95 for a sandwich, fries, and a dollop of soggy coleslaw ???

I kept hearing from my friend, his mom and the waitress that the sandys are HUGE.
nope.

Thought we might split one.
nope.

My sandwich was flavorless..err..thats a lie.. it tasted like stale bread.

$29.98 for 2 sandwiches and 2 sodas (its an effin sandwich!!!). I only had $40 (only ?)

Left the waitress $5.

Gave my friend the other $5 to put toward a plane ticket to New York where he might experience Kosher (and a bit of his heritage) on a more realistic scale.

..the fries were good tho.",1,2,"The review features multiple strong negative criticisms regarding taste ('stale bread', 'flavorless'), portion size ('nope', 'not huge'), and value for money ('$12.95 for a sandwich?', '$29.98 for 2 sandwiches and 2 sodas'). While the reviewer positively notes not getting ill and the fries being good, these are minor positives compared to the severe dissatisfaction with the main sandwich and overall experience, punctuated by sarcasm about authenticity and value.","```json
{
  ""predicted_stars"": 2,
  ""explanation"": ""The review features multiple strong negative criticisms regarding taste ('stale bread', 'flavorless'), portion size ('nope', 'not huge'), and value for money ('$12.95 for a sandwich?', '$29.98 for 2 sandwiches and 2 sodas'). While the reviewer positively notes not getting ill and the fries being good, these are minor positives compared to the severe dissatisfaction with the main sandwich and overall experience, punctuated by sarcasm about authenticity and value.""
}
```",True
"10:30pm on a Saturday night.  My friend and I try our second attempt at sushi for the night (see my review of Pearl for the first).  Place is hopping.  We take a seat at the sushi bar.

The Waitress:  ""Are you girls going to be ordering sushi?""
Me: I have a sushi menu in my hand, ""yes.""
Waitress:  ""Would you mind putting it in soon because they want to go home too.""
Me: What the fuck, bitch. ""Uh, ok""

Dear Ra Waitress,

I'm sorry if I kept you or any other employess, especially since I finished eating my roll before your kitchen even closed.  It was completely ok to rush me, even though I had no intention of staying all fucking night and even though plenty of new sushi orders came after mine.  I was hardly the last customer in there.  There were people all around me ordering sushi, so I'm still unclear as to why you needed to rush me.  If you were in such a hurry- why did it take you longer to bring and process my bill than it did for me to eat your food?  Maybe it was because you don't know how to count, since you gave the wrong amount of change and I ended up having to tell you the correct amount since you couldn't count it on the spot.  I like Ra for the atmosphere, something you completely ruined.  Thanks for that.   

Sincerely,
Morgan",1,1,"Extremely negative and sarcastic tone, focusing on multiple severe service failures including rudeness, rushing customers, slow bill processing, and incorrect change. The experience was 'completely ruined' despite the reviewer liking the atmosphere.","```json
{
  ""predicted_stars"": 1,
  ""explanation"": ""Extremely negative and sarcastic tone, focusing on multiple severe service failures including rudeness, rushing customers, slow bill processing, and incorrect change. The experience was 'completely ruined' despite the reviewer liking the atmosphere.""
}
```",True
